trial_id,crowd_density_humans,fixed_fleet_size,success_rate_pct,makespan_s,mean_replan_latency_ms,discomfort_integral,v2v_mesh_packets
93,30,4,100.0,51.35,0.256,0.33,50
94,2,4,100.0,19.2,0.119,0.0,108
94,6,4,0.0,180.0,0.1,10.94,85
94,12,4,100.0,100.45,0.15,5.07,96
94,18,4,100.0,45.5,0.118,0.37,48
94,24,4,100.0,45.2,0.166,0.69,57
94,30,4,100.0,41.45,0.186,0.11,54
95,2,4,100.0,22.8,0.085,0.01,111
95,6,4,100.0,34.55,0.129,0.01,58
95,12,4,100.0,32.1,0.127,0.08,55
95,18,4,100.0,34.1,0.184,0.31,43
95,24,4,100.0,49.9,0.185,0.67,49
95,30,4,100.0,52.35,0.185,1.33,60
96,2,4,100.0,21.2,0.108,0.03,123
