trial_id,configuration,omitted_component,success,travel_time_s,deadlocks,discomfort_integral,shelf_contact_ticks,shelf_contact_events,min_shelf_clearance_m,inter_cart_crowding
36,w/o safety controller only,"controller off, w_S kept",1,40.5,0,0.03,133,35,0.0,0
36,w/o safety (full stack),S_trolley = 0 and controller off,1,40.5,0,0.04,347,85,0.0,0
37,Full D2RO Framework,None (Complete Equation),1,35.8,0,0.01,52,1,0.504,0
37,w/o V2V Mesh Telemetry,W_mesh = 0,1,32.05,0,0.02,104,3,0.504,0
37,w/o Corridor Reservation,R_lock constraint lifted,1,32.05,0,0.02,104,3,0.504,0
37,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.33,319,63,0.502,0
37,w/o S_trolley cost only,"w_S = 0, controller kept",1,47.05,0,0.01,281,5,0.504,0
37,w/o safety controller only,"controller off, w_S kept",1,37.1,0,0.01,55,23,0.0,0
37,w/o safety (full stack),S_trolley = 0 and controller off,1,42.5,0,0.01,271,97,0.0,0
38,Full D2RO Framework,None (Complete Equation),1,45.25,0,0.03,79,6,0.511,0
38,w/o V2V Mesh Telemetry,W_mesh = 0,1,29.35,0,0.02,69,3,0.515,0
38,w/o Corridor Reservation,R_lock constraint lifted,1,29.35,0,0.02,69,3,0.515,0
38,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,12.87,256,114,0.51,0
38,w/o S_trolley cost only,"w_S = 0, controller kept",1,44.85,0,0.03,253,5,0.511,0
38,w/o safety controller only,"controller off, w_S kept",1,40.75,0,0.02,140,42,0.0,0
38,w/o safety (full stack),S_trolley = 0 and controller off,1,40.75,0,0.03,231,89,0.0,0
39,Full D2RO Framework,None (Complete Equation),1,48.1,0,0.01,145,6,0.513,0
39,w/o V2V Mesh Telemetry,W_mesh = 0,1,33.35,0,0.01,148,3,0.517,0
39,w/o Corridor Reservation,R_lock constraint lifted,1,33.35,0,0.01,148,3,0.517,0
39,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.92,236,51,0.507,0
39,w/o S_trolley cost only,"w_S = 0, controller kept",1,48.2,0,0.01,295,5,0.511,0
39,w/o safety controller only,"controller off, w_S kept",1,47.6,0,0.01,131,61,0.0,0
39,w/o safety (full stack),S_trolley = 0 and controller off,1,43.55,0,0.0,295,95,0.0,0
40,Full D2RO Framework,None (Complete Equation),1,46.05,0,0.02,142,5,0.517,0
40,w/o V2V Mesh Telemetry,W_mesh = 0,1,38.25,0,0.02,432,6,0.496,0
40,w/o Corridor Reservation,R_lock constraint lifted,1,38.25,0,0.02,432,6,0.496,0
40,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,20.23,220,67,0.369,0
40,w/o S_trolley cost only,"w_S = 0, controller kept",1,59.1,0,0.02,414,10,0.5,0
40,w/o safety controller only,"controller off, w_S kept",1,44.9,0,0.02,160,68,0.0,0
40,w/o safety (full stack),S_trolley = 0 and controller off,1,44.25,0,0.02,310,96,0.0,0
41,Full D2RO Framework,None (Complete Equation),1,43.35,0,0.01,153,3,0.511,0
41,w/o V2V Mesh Telemetry,W_mesh = 0,1,27.45,0,0.0,80,3,0.504,0
41,w/o Corridor Reservation,R_lock constraint lifted,1,27.45,0,0.0,80,3,0.504,0
41,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,14.78,181,96,0.511,0
41,w/o S_trolley cost only,"w_S = 0, controller kept",1,45.2,0,0.01,246,5,0.511,0
41,w/o safety controller only,"controller off, w_S kept",1,40.2,0,0.01,151,47,0.0,0
41,w/o safety (full stack),S_trolley = 0 and controller off,1,42.5,0,0.01,224,82,0.0,0
42,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.0,114,1,0.511,0
42,w/o V2V Mesh Telemetry,W_mesh = 0,1,26.9,0,0.05,51,2,0.513,0
42,w/o Corridor Reservation,R_lock constraint lifted,1,26.9,0,0.05,51,2,0.513,0
42,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,17.31,530,85,0.5,0
