trial_id,fleet_size_carts,fixed_crowd_humans,success_rate_pct,makespan_s,mean_replan_latency_ms,corridor_mutex_wait_s,v2v_mesh_packets
91,4,10,100.0,67.2,0.147,0.0,78
91,6,10,100.0,40.75,0.113,0.0,211
91,8,10,100.0,52.95,0.099,0.0,355
91,10,10,100.0,48.7,0.132,0.0,741
91,12,10,100.0,117.2,0.233,0.0,1735
92,2,10,100.0,74.95,0.09,0.0,8
92,4,10,100.0,116.05,0.119,0.0,172
92,6,10,100.0,74.6,0.153,0.0,263
92,8,10,100.0,53.1,0.154,0.0,502
92,10,10,0.0,240.0,0.187,0.0,1019
92,12,10,0.0,240.0,0.15,0.0,947
93,2,10,100.0,48.45,0.102,0.0,7
93,4,10,100.0,63.9,0.074,0.0,67
93,6,10,100.0,65.9,0.163,0.0,251
93,8,10,100.0,100.45,0.25,0.0,958
93,10,10,100.0,51.1,0.17,0.0,919
93,12,10,100.0,73.0,0.268,0.0,845
94,2,10,100.0,55.95,0.156,0.0,5
94,4,10,100.0,51.5,0.128,0.0,70
94,6,10,100.0,54.7,0.18,0.0,276
94,8,10,100.0,55.85,0.137,0.0,439
94,10,10,100.0,57.95,0.215,0.0,755
94,12,10,100.0,43.75,0.24,0.0,961
95,2,10,100.0,56.55,0.092,0.0,8
95,4,10,100.0,46.2,0.097,0.0,60
95,6,10,100.0,52.85,0.203,0.0,439
