trial_id,channel,packet_loss_rate,latency_s,success,makespan_s,intimate_exposure_ticks,mesh_packets,replans
7,loss10_lat100ms,0.1,0.1,1,21.3,0,58,355
8,loss10_lat100ms,0.1,0.1,1,36.85,0,73,394
9,loss10_lat100ms,0.1,0.1,1,28.0,0,65,473
10,loss10_lat100ms,0.1,0.1,1,47.05,0,65,436
11,loss10_lat100ms,0.1,0.1,1,21.2,0,65,385
12,loss10_lat100ms,0.1,0.1,1,38.1,0,65,523
13,loss10_lat100ms,0.1,0.1,1,63.7,0,46,604
14,loss10_lat100ms,0.1,0.1,1,40.2,0,64,490
15,loss10_lat100ms,0.1,0.1,1,44.5,0,59,352
16,loss10_lat100ms,0.1,0.1,1,42.85,0,41,458
17,loss10_lat100ms,0.1,0.1,1,42.2,0,66,353
18,loss10_lat100ms,0.1,0.1,1,42.2,0,38,382
19,loss10_lat100ms,0.1,0.1,1,70.15,0,60,481
20,loss10_lat100ms,0.1,0.1,1,51.4,0,59,395
21,loss10_lat100ms,0.1,0.1,1,30.55,0,58,473
22,loss10_lat100ms,0.1,0.1,1,56.85,0,56,447
23,loss10_lat100ms,0.1,0.1,1,42.2,0,68,329
24,loss10_lat100ms,0.1,0.1,1,40.65,47,85,508
25,loss10_lat100ms,0.1,0.1,1,42.8,0,66,332
26,loss10_lat100ms,0.1,0.1,1,34.85,0,58,430
27,loss10_lat100ms,0.1,0.1,1,42.4,0,57,370
28,loss10_lat100ms,0.1,0.1,1,43.35,0,65,352
29,loss10_lat100ms,0.1,0.1,1,66.85,0,56,438
30,loss10_lat100ms,0.1,0.1,1,66.5,0,60,559
1,loss10_lat200ms,0.1,0.2,1,42.2,0,68,463
2,loss10_lat200ms,0.1,0.2,1,91.25,0,62,655
3,loss10_lat200ms,0.1,0.2,1,42.2,0,63,492
4,loss10_lat200ms,0.1,0.2,1,74.9,0,61,675
5,loss10_lat200ms,0.1,0.2,1,21.15,0,72,345
6,loss10_lat200ms,0.1,0.2,1,86.05,0,64,683
7,loss10_lat200ms,0.1,0.2,1,21.3,0,58,357
8,loss10_lat200ms,0.1,0.2,1,36.85,0,69,397
9,loss10_lat200ms,0.1,0.2,1,28.0,0,65,479
10,loss10_lat200ms,0.1,0.2,1,47.05,0,65,439
11,loss10_lat200ms,0.1,0.2,1,21.2,0,65,389
12,loss10_lat200ms,0.1,0.2,1,38.1,0,65,525
13,loss10_lat200ms,0.1,0.2,1,63.7,0,46,608
14,loss10_lat200ms,0.1,0.2,1,40.2,0,64,493
15,loss10_lat200ms,0.1,0.2,1,44.85,0,59,352
16,loss10_lat200ms,0.1,0.2,1,42.85,0,41,461
17,loss10_lat200ms,0.1,0.2,1,42.2,0,66,357
18,loss10_lat200ms,0.1,0.2,1,42.2,0,38,382
19,loss10_lat200ms,0.1,0.2,1,70.15,0,60,485
20,loss10_lat200ms,0.1,0.2,1,51.4,0,59,399
21,loss10_lat200ms,0.1,0.2,1,30.55,0,58,477
22,loss10_lat200ms,0.1,0.2,1,56.85,0,56,450
23,loss10_lat200ms,0.1,0.2,1,42.2,0,68,334
24,loss10_lat200ms,0.1,0.2,1,40.65,47,85,508
25,loss10_lat200ms,0.1,0.2,1,42.8,0,66,333
26,loss10_lat200ms,0.1,0.2,1,34.85,0,58,433
27,loss10_lat200ms,0.1,0.2,1,42.4,0,57,373
28,loss10_lat200ms,0.1,0.2,1,43.35,0,65,355
